"MutantName","Test1","Test2","Test3","Test4","Test5","Test6","MutantKilled?"
"CAD1","Pass","Pass","Pass","Pass","Pass","Pass","No"
"CAD2","Pass","Pass","Pass","Pass","Pass","Pass","No"
"CAD3","Pass","Pass","Pass","Pass","Pass","Pass","No"
"CAD4","Pass","Pass","Pass","Pass","Pass","Pass","No"
"CAD5","Pass","Pass","Pass","Pass","Pass","Pass","No"
"CAD6","Pass","Pass","Pass","Pass","Pass","Pass","No"
"CAD7","Pass","Pass","Pass","Pass","Pass","Pass","No"
"CAD8","Pass","Pass","Pass","Pass","Pass","Pass","No"
"CAD9","Pass","Pass","Pass","Pass","Pass","Pass","No"
"CAD10","Pass","Pass","Pass","Pass","Pass","Pass","No"
